elemento,nombre,nodo_i,nodo_j,Ni_kN,Vi_kN,Mi_kNm,Nj_kN,Vj_kN,Mj_kNm
1,columna_inferior,1,2,8.200075203119024,-36.12308575832886,-24.145569891705613,-8.200075203119024,70.12308575832886,-82.1006016249521
2,columna_superior,2,3,9.538720363346427e-16,50.99999999999997,76.49999999999994,-9.538720363346427e-16,2.546585164964199e-14,-1.8189894035458565e-14
3,viga_0_a_5m,2,4,121.12308575832886,8.200075203119026,5.600601624952204,-121.12308575832886,-8.200075203119026,35.399774390642925
4,viga_5_a_8m,4,5,121.12308575832886,-11.79992479688097,-35.399774390642925,-121.12308575832886,11.79992479688097,1.0913936421275139e-14
